song_id,key,mode,confidence,tempo,rms,zcr,centroid,bandwidth,rolloff,contrast,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_C,chroma_C#,chroma_D,chroma_D#,chroma_E,chroma_F,chroma_F#,chroma_G,chroma_G#,chroma_A,chroma_A#,chroma_B
10,D,major,0.7576,93.96,0.066268,0.041611,1785.33,2297.4,3698.05,23.4755,-307.8241,154.6323,13.8671,18.2827,10.567,24.9113,-4.4233,5.5301,5.4692,7.6587,0.7957,-1.1232,-0.9755,0.4084,0.4023,0.4638,0.3324,0.4466,0.314,0.4488,0.4349,0.3249,0.542,0.284,0.3301
1000,D,major,0.6827,136.0,0.249552,0.054797,2465.48,2933.77,5288.42,21.0287,-90.5407,161.4757,-36.7859,45.2413,-11.2782,25.8314,-7.0166,12.7312,-5.3167,8.3503,-2.6953,4.9726,2.1477,0.4579,0.4615,0.6102,0.4229,0.56,0.5535,0.6175,0.6878,0.5741,0.8101,0.4034,0.444
1001,F#,minor,0.864,114.84,0.06886,0.052712,2082.41,2574.08,3935.07,22.1851,-219.5636,174.8495,-28.1832,22.2234,-5.1461,19.2498,-10.6671,8.6837,-2.6294,1.7376,-4.6208,2.6434,1.8353,0.2133,0.4254,0.4381,0.2463,0.3746,0.2247,0.526,0.2399,0.3592,0.6316,0.2567,0.4708
1002,C,major,0.6578,143.55,0.070099,0.022382,1224.97,2014.22,2135.69,23.231,-363.5011,129.3123,31.9658,37.8724,25.5274,22.9005,10.0823,9.7426,9.3167,3.5406,3.4862,4.6712,0.9226,0.4448,0.3071,0.4376,0.2283,0.308,0.3927,0.3714,0.4925,0.2796,0.2219,0.2772,0.224
1003,A,major,0.2832,90.67,0.060641,0.037554,1977.25,2495.27,3565.06,22.6711,-336.7678,118.257,9.0194,31.0243,5.334,-6.1197,-7.1423,2.2066,-5.4079,-2.0291,-0.9744,-0.31,3.9725,0.2785,0.3139,0.237,0.213,0.2709,0.204,0.2587,0.3014,0.3617,0.5915,0.5866,0.492
1004,E,minor,0.7372,112.35,0.089687,0.040812,1789.08,2116.29,3639.41,21.2065,-208.1289,195.6638,-53.5008,44.7134,3.6445,-0.5068,-3.8134,3.1795,-6.7443,1.4104,-3.3143,1.0405,-0.4649,0.4126,0.2163,0.5217,0.4495,0.6549,0.46,0.3384,0.5547,0.4147,0.4446,0.4122,0.6719
1005,C,major,0.8916,178.21,0.078798,0.039936,1888.79,2405.47,3914.53,20.8785,-218.5779,172.6565,-37.98,47.2451,-1.0361,15.7281,3.7978,3.4861,1.3944,-3.0125,-0.5872,1.7717,0.1475,0.8844,0.4938,0.484,0.4176,0.5482,0.5558,0.5104,0.6016,0.4379,0.4984,0.4176,0.4911
1006,F#,major,0.6525,172.27,0.06099,0.044987,2282.48,2735.0,4593.11,23.7749,-292.0877,107.1949,3.2626,28.0903,2.6957,-4.5897,-6.5345,-2.8803,-3.315,-14.768,-1.9016,0.3656,-10.3714,0.4173,0.4876,0.3986,0.4186,0.4495,0.4372,0.5057,0.3313,0.3115,0.3637,0.4582,0.4241
1007,E,minor,0.332,132.51,0.067783,0.04795,2575.61,3012.32,5331.8,22.5067,-285.9262,114.4741,-10.1522,37.8224,3.0893,10.7717,-6.401,-0.0372,0.3798,-8.8542,-2.7747,1.1176,-7.915,0.6151,0.5713,0.5248,0.5538,0.6164,0.496,0.4478,0.4366,0.3975,0.4342,0.5404,0.6378
1008,C,major,0.8101,147.66,0.064232,0.045063,1856.61,2243.64,3631.83,22.4429,-269.2442,164.7788,-21.1731,18.7058,5.1178,15.4972,-0.1348,-10.161,2.7949,-1.2157,-9.5619,-4.1437,-3.9106,0.5651,0.4401,0.4809,0.4802,0.5412,0.4874,0.3862,0.5579,0.3877,0.545,0.3579,0.4851
1009,G,minor,0.414,136.0,0.053278,0.032885,1167.88,1273.65,2155.24,21.9271,-341.5349,213.3417,-29.8984,-3.8368,35.2782,-6.3884,-4.3464,5.1434,-7.5951,-1.7168,0.0484,-8.3892,-2.6484,0.3352,0.4002,0.3993,0.2883,0.3126,0.3413,0.654,0.6473,0.4259,0.3912,0.4155,0.3582
101,C,minor,0.7734,156.61,0.031494,0.030253,1224.4,1643.13,2149.27,25.3787,-428.9212,145.3559,24.0939,13.3265,6.2734,0.1884,-14.7473,-2.7885,-2.5378,-17.4529,-10.287,-14.2453,-15.0922,0.8725,0.2094,0.2248,0.2338,0.0848,0.1352,0.1347,0.5712,0.1333,0.2091,0.2414,0.3089
1010,G,minor,0.6497,129.2,0.05604,0.067973,2770.65,2973.6,5638.46,21.0365,-273.6055,116.0755,-20.11,3.4819,-4.0557,7.5242,-8.9238,0.2403,-3.6504,-2.7534,-4.8145,2.398,-2.574,0.5121,0.5112,0.6056,0.5162,0.5357,0.6105,0.5361,0.6547,0.5041,0.5278,0.5176,0.4586
1011,E,minor,0.7755,172.27,0.041146,0.016937,1112.42,2015.45,1779.08,21.564,-411.9685,144.6247,23.8933,14.8637,17.8533,11.1139,7.8344,3.9003,-3.9026,-5.1536,-8.4696,-12.6841,-10.4277,0.3712,0.3142,0.3697,0.3257,0.5762,0.2715,0.3232,0.3221,0.2492,0.3314,0.3035,0.5679
1012,G,minor,0.3458,114.84,0.077924,0.018519,871.75,1406.25,1621.85,21.0659,-343.2894,202.1386,2.3851,3.5112,43.5907,28.3074,5.7459,-3.5219,1.4192,9.9259,8.8471,6.2338,6.0977,0.4736,0.5239,0.5167,0.4198,0.4923,0.4843,0.5668,0.6935,0.6991,0.6911,0.6368,0.4971
1013,E,minor,0.4851,143.55,0.073544,0.027287,851.88,988.15,1552.14,21.8791,-339.8857,231.7642,-0.2705,-2.4165,42.5868,10.1638,-15.6239,-4.1463,-3.9299,-10.069,-0.477,4.998,-1.3166,0.2483,0.3251,0.4079,0.7491,0.6362,0.2831,0.4657,0.5459,0.3312,0.2446,0.3126,0.4058
1014,D,major,0.6593,103.36,0.094629,0.035201,1811.47,2605.04,3924.98,23.7832,-254.494,172.4563,3.0036,46.2889,-7.0325,4.8642,5.7685,17.8108,-2.8777,10.8479,-3.0887,-1.3471,-6.7147,0.3494,0.3244,0.5792,0.304,0.488,0.303,0.2597,0.3313,0.3634,0.509,0.2201,0.2423
1015,C,major,0.8666,92.29,0.055296,0.07673,2690.12,2788.97,5249.31,19.6961,-197.9478,165.1339,-65.1175,37.9075,-19.6231,26.6023,-14.5871,10.4711,-8.2076,1.9347,-6.0337,1.3741,1.0894,0.7266,0.4956,0.5642,0.5021,0.5428,0.5557,0.4373,0.5498,0.4091,0.4798,0.4243,0.4522
1016,F#,minor,0.7607,90.67,0.040381,0.025247,1988.49,3322.23,4048.46,22.2332,-397.2772,69.7259,39.1721,24.5861,13.8788,8.1815,1.2572,-2.3978,-5.0523,-9.3678,-9.355,-8.5697,-9.3698,0.1705,0.2366,0.3107,0.148,0.1975,0.1569,0.4767,0.3253,0.1507,0.3768,0.2342,0.2551
1017,G#,minor,0.3961,147.66,0.052031,0.026091,1472.7,2313.82,2708.82,22.2782,-346.4067,152.5582,16.3204,17.2299,12.8084,15.0255,-3.2315,-3.9877,0.2515,-2.1133,-0.9662,-7.2753,-4.1725,0.3082,0.2979,0.2267,0.215,0.2414,0.4045,0.3389,0.4453,0.5987,0.3978,0.5261,0.4313
1018,E,minor,0.3791,126.05,0.054508,0.030199,1921.31,3021.0,3809.69,21.6448,-298.4334,148.021,11.8916,22.6621,3.4252,9.9779,-9.3866,3.168,-1.4438,-3.602,-1.3591,-8.5792,-4.274,0.31,0.2403,0.2701,0.2282,0.4375,0.2697,0.2518,0.4433,0.3751,0.4369,0.5337,0.4421
1019,D,minor,0.4571,136.0,0.064543,0.02235,1249.17,2247.67,2035.44,23.7731,-352.7045,163.5842,30.7591,30.0506,10.3357,6.8588,0.702,3.174,0.7909,-2.294,-6.1563,-15.2459,-11.15,0.2837,0.2979,0.3495,0.1592,0.2674,0.3146,0.2832,0.3181,0.2468,0.3485,0.4453,0.3558
102,D,major,0.8121,161.5,0.19058,0.037256,1355.72,1338.21,2615.75,21.3583,-193.6315,223.269,-59.6462,16.6259,49.2422,5.5309,5.8692,-1.6844,-6.7757,7.1103,-6.0489,-9.989,6.8324,0.3004,0.3711,0.7797,0.3709,0.3742,0.3754,0.4952,0.2805,0.2159,0.5414,0.3753,0.3361
1020,E,major,0.4376,172.27,0.07072,0.034701,2158.11,3107.96,4852.52,23.8021,-289.3478,139.403,6.099,49.3292,-5.9242,9.0804,-3.3338,9.2335,-0.7141,2.201,-3.2717,0.7532,-6.6332,0.4075,0.2995,0.2962,0.3574,0.5034,0.2428,0.1879,0.2247,0.3045,0.5334,0.5709,0.5092
1021,F,major,0.7642,143.55,0.091315,0.034855,2036.99,3042.5,4317.04,22.2241,-203.8936,158.499,-13.0027,34.8198,-4.8534,27.4159,-5.6225,16.5883,-3.4419,5.3282,-5.2837,-3.0199,-8.5467,0.4443,0.1642,0.3789,0.1962,0.3737,0.9684,0.3779,0.2976,0.1711,0.2624,0.1843,0.152
1022,F,major,0.4869,178.21,0.057816,0.025308,1262.38,1929.79,2325.79,22.9753,-330.9506,171.0588,12.9473,25.9899,24.8323,14.953,-4.0161,1.871,8.6276,-3.4226,0.7738,3.3953,-5.1967,0.7185,0.3294,0.2473,0.256,0.192,0.4503,0.2532,0.4371,0.1737,0.2831,0.6571,0.6079
1023,B,minor,0.7139,58.73,0.064291,0.022975,849.19,1293.1,1322.61,23.0831,-344.176,210.7202,24.092,-19.0825,5.3169,0.6814,-10.152,-7.8129,-4.9793,-2.0888,-3.1366,-4.5174,-3.1856,0.2623,0.3722,0.2882,0.1667,0.2975,0.1822,0.2523,0.0736,0.1336,0.1997,0.2391,0.9635
